StarID,Period,I_mag
15,11.3943298,14.663
10959,5.104732,15.08
10922,8.5863192,14.355
30044,3.1564446,14.515
13290,18.0013303,13.858
15404,14.2677308,14.394
46771,4.2331128,14.396
15662,13.0621679,14.322
64106,5.0891577,14.116
94835,3.6567938,14.468
34606,7.9413749,14.124
49313,8.597815,14.621
117011,4.6595572,15.38
58179,9.9818809,14.095
123188,1.4300792,16.347
69984,9.2435222,13.291
11,11.5092718,13.962
24,2.9814381,14.752
20290,6.1127411,14.042
113,5.4645737,14.767
3,4.818801,13.903
11,6.2591,14.231
4732,5.7466284,15.039
